ID,ESTACION,FECHA,LONGITUD,LATITUD,ALTITUD,O3,UV_MAX,PP,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
1,MARCAPOMACOCHA,20150601,-76.32508,-11.40443,4443,,8,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
2,MARCAPOMACOCHA,20150602,-76.32508,-11.40443,4443,,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
3,MARCAPOMACOCHA,20150603,-76.32508,-11.40443,4443,,11,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
4,MARCAPOMACOCHA,20150604,-76.32508,-11.40443,4443,,9,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
5,MARCAPOMACOCHA,20150605,-76.32508,-11.40443,4443,,7,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
6,MARCAPOMACOCHA,20150606,-76.32508,-11.40443,4443,,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
7,MARCAPOMACOCHA,20150607,-76.32508,-11.40443,4443,,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
8,MARCAPOMACOCHA,20150608,-76.32508,-11.40443,4443,,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
9,MARCAPOMACOCHA,20150609,-76.32508,-11.40443,4443,235.8,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
10,MARCAPOMACOCHA,20150610,-76.32508,-11.40443,4443,233.5,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
11,MARCAPOMACOCHA,20150611,-76.32508,-11.40443,4443,232.4,11,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
12,MARCAPOMACOCHA,20150612,-76.32508,-11.40443,4443,235.7,10,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
13,MARCAPOMACOCHA,20150613,-76.32508,-11.40443,4443,241.1,9,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
14,MARCAPOMACOCHA,20150614,-76.32508,-11.40443,4443,237.5,9,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
15,MARCAPOMACOCHA,20150615,-76.32508,-11.40443,4443,237.1,7,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
16,MARCAPOMACOCHA,20150616,-76.32508,-11.40443,4443,237.8,5,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
17,MARCAPOMACOCHA,20150617,-76.32508,-11.40443,4443,235.6,10,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
18,MARCAPOMACOCHA,20150618,-76.32508,-11.40443,4443,241.8,8,0.5,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
19,MARCAPOMACOCHA,20150619,-76.32508,-11.40443,4443,239.9,6,4.6,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
20,MARCAPOMACOCHA,20150620,-76.32508,-11.40443,4443,234.5,10,5,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
21,MARCAPOMACOCHA,20150621,-76.32508,-11.40443,4443,235.7,10,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
